quiz_score,time_spent,learning_style
27,53,kinesthetic
27,38,kinesthetic
43,48,auditory
83,53,visual
29,36,kinesthetic
61,25,auditory
74,36,visual
91,48,visual
88,49,visual
61,10,auditory
96,54,visual
0,42,kinesthetic
26,59,kinesthetic
61,48,auditory
76,36,visual
2,26,kinesthetic
69,24,auditory
71,31,visual
26,28,kinesthetic
8,37,kinesthetic
61,32,auditory
36,45,kinesthetic
96,58,visual
50,48,auditory
43,57,auditory
23,58,kinesthetic
78,29,visual
58,56,auditory
31,18,kinesthetic
95,32,visual
87,54,visual
51,16,auditory
61,40,auditory
57,20,auditory
51,49,auditory
11,26,kinesthetic
38,45,kinesthetic
1,35,kinesthetic
2,45,kinesthetic
55,27,auditory
80,40,visual
58,58,auditory
1,44,kinesthetic
1,50,kinesthetic
91,37,visual
53,35,auditory
86,15,visual
95,43,visual
96,37,visual
0,53,kinesthetic
18,56,kinesthetic
1,18,kinesthetic
52,38,auditory
43,43,auditory
89,21,visual
31,25,kinesthetic
69,16,auditory
31,40,kinesthetic
67,42,auditory
54,16,auditory
74,12,visual
55,29,auditory
16,14,kinesthetic
37,12,kinesthetic
23,56,kinesthetic
68,47,auditory
97,24,visual
69,44,auditory
85,32,visual
10,42,kinesthetic
15,11,kinesthetic
96,45,visual
72,30,visual
58,23,auditory
69,23,auditory
79,51,visual
92,20,visual
2,13,kinesthetic
19,56,kinesthetic
58,39,auditory
35,45,kinesthetic
18,29,kinesthetic
89,25,visual
66,43,auditory
18,54,kinesthetic
19,17,kinesthetic
95,54,visual
70,29,visual
51,30,auditory
32,49,kinesthetic
39,39,kinesthetic
38,45,kinesthetic
81,14,visual
0,30,kinesthetic
10,47,kinesthetic
91,32,visual
56,28,auditory
88,19,visual
49,36,auditory
22,44,kinesthetic
30,22,kinesthetic
93,18,visual
41,26,auditory
98,40,visual
6,51,kinesthetic
15,53,kinesthetic
89,54,visual
59,33,auditory
1,51,kinesthetic
0,28,kinesthetic
47,58,auditory
11,39,kinesthetic
68,14,auditory
36,17,kinesthetic
31,46,kinesthetic
8,56,kinesthetic
98,45,visual
18,34,kinesthetic
47,54,auditory
79,58,visual
2,14,kinesthetic
19,42,kinesthetic
23,31,kinesthetic
53,56,auditory
32,51,kinesthetic
23,34,kinesthetic
74,52,visual
71,59,visual
35,38,kinesthetic
37,54,kinesthetic
83,39,visual
98,57,visual
88,39,visual
98,53,visual
24,55,kinesthetic
92,40,visual
17,43,kinesthetic
81,37,visual
65,19,auditory
53,13,auditory
34,42,kinesthetic
79,26,visual
60,20,auditory
40,16,auditory
99,26,visual
32,37,kinesthetic
67,26,auditory
32,50,kinesthetic
13,19,kinesthetic
20,35,kinesthetic
47,15,auditory
19,26,kinesthetic
7,25,kinesthetic
6,48,kinesthetic
66,35,auditory
16,13,kinesthetic
32,29,kinesthetic
47,58,auditory
75,50,visual
58,20,auditory
85,32,visual
21,42,kinesthetic
29,40,kinesthetic
37,16,kinesthetic
50,31,auditory
53,14,auditory
7,46,kinesthetic
26,10,kinesthetic
26,15,kinesthetic
97,54,visual
20,56,kinesthetic
29,13,kinesthetic
96,39,visual
27,39,kinesthetic
63,26,auditory
96,33,visual
68,40,auditory
60,37,auditory
47,54,auditory
18,52,kinesthetic
3,13,kinesthetic
34,48,kinesthetic
63,28,auditory
48,33,auditory
16,16,kinesthetic
43,55,auditory
91,57,visual
29,18,kinesthetic
92,31,visual
45,11,auditory
5,36,kinesthetic
98,25,visual
36,14,kinesthetic
23,21,kinesthetic
92,35,visual
45,24,auditory
52,12,auditory
94,18,visual
98,37,visual
59,48,auditory
96,45,visual
62,34,auditory
84,50,visual
31,37,kinesthetic
86,56,visual
32,30,kinesthetic
66,38,auditory
17,34,kinesthetic
24,39,kinesthetic
94,48,visual
53,20,auditory
57,28,auditory
66,20,auditory
45,34,auditory
23,10,kinesthetic
31,41,kinesthetic
46,30,auditory
85,54,visual
22,22,kinesthetic
65,43,auditory
26,26,kinesthetic
1,56,kinesthetic
89,28,visual
16,19,kinesthetic
32,51,kinesthetic
8,18,kinesthetic
42,20,auditory
47,47,auditory
38,40,kinesthetic
92,11,visual
41,33,auditory
25,51,kinesthetic
98,56,visual
49,14,auditory
24,59,kinesthetic
23,39,kinesthetic
12,48,kinesthetic
59,44,auditory
6,57,kinesthetic
56,26,auditory
35,40,kinesthetic
44,11,auditory
19,25,kinesthetic
64,30,auditory
7,39,kinesthetic
15,10,kinesthetic
13,23,kinesthetic
75,25,visual
86,18,visual
14,58,kinesthetic
91,17,visual
97,18,visual
65,43,auditory
31,54,kinesthetic
86,42,visual
62,31,auditory
85,39,visual
50,16,auditory
24,27,kinesthetic
57,30,auditory
62,14,auditory
61,16,auditory
21,21,kinesthetic
57,26,auditory
57,33,auditory
85,46,visual
48,53,auditory
51,28,auditory
41,54,auditory
69,25,auditory
14,34,kinesthetic
53,36,auditory
59,51,auditory
96,53,visual
7,16,kinesthetic
52,55,auditory
59,51,auditory
4,17,kinesthetic
67,24,auditory
5,25,kinesthetic
95,17,visual
93,45,visual
46,41,auditory
98,26,visual
54,45,auditory
39,31,kinesthetic
51,41,auditory
15,20,kinesthetic
12,54,kinesthetic
29,15,kinesthetic
18,31,kinesthetic
16,23,kinesthetic
62,37,auditory
18,48,kinesthetic
91,21,visual
57,36,auditory
54,10,auditory
89,19,visual
89,42,visual
61,25,auditory
22,48,kinesthetic
8,15,kinesthetic
11,34,kinesthetic
0,59,kinesthetic
57,29,auditory
0,45,kinesthetic
33,32,kinesthetic
95,25,visual
47,10,auditory
88,39,visual
0,36,kinesthetic
15,11,kinesthetic
60,57,auditory
63,30,auditory
62,18,auditory
68,56,auditory
21,33,kinesthetic
92,57,visual
66,50,auditory
75,48,visual
25,51,kinesthetic
15,16,kinesthetic
50,39,auditory
85,54,visual
56,11,auditory
28,21,kinesthetic
77,22,visual
91,12,visual
68,52,auditory
46,49,auditory
93,52,visual
61,27,auditory
68,48,auditory
75,53,visual
15,15,kinesthetic
89,51,visual
89,36,visual
47,24,auditory
84,24,visual
38,28,kinesthetic
99,47,visual
32,56,kinesthetic
93,29,visual
22,29,kinesthetic
9,27,kinesthetic
68,43,auditory
99,48,visual
33,46,kinesthetic
51,44,auditory
94,47,visual
9,47,kinesthetic
18,10,kinesthetic
57,21,auditory
95,14,visual
0,36,kinesthetic
68,48,auditory
3,29,kinesthetic
15,49,kinesthetic
23,28,kinesthetic
79,47,visual
1,24,kinesthetic
91,15,visual
31,18,kinesthetic
90,45,visual
83,57,visual
23,32,kinesthetic
11,19,kinesthetic
49,10,auditory
34,20,kinesthetic
32,58,kinesthetic
32,59,kinesthetic
60,29,auditory
50,37,auditory
42,31,auditory
11,29,kinesthetic
66,56,auditory
64,47,auditory
32,25,kinesthetic
39,11,kinesthetic
73,34,visual
42,36,auditory
43,12,auditory
28,32,kinesthetic
12,41,kinesthetic
11,26,kinesthetic
94,49,visual
45,29,auditory
1,39,kinesthetic
34,37,kinesthetic
86,56,visual
80,54,visual
89,32,visual
7,28,kinesthetic
92,34,visual
25,33,kinesthetic
73,10,visual
89,37,visual
33,38,kinesthetic
6,53,kinesthetic
67,59,auditory
57,59,auditory
74,44,visual
28,59,kinesthetic
35,26,kinesthetic
88,20,visual
20,46,kinesthetic
35,16,kinesthetic
9,35,kinesthetic
72,32,visual
23,27,kinesthetic
63,38,auditory
98,48,visual
48,59,auditory
98,43,visual
35,47,kinesthetic
81,17,visual
95,30,visual
23,30,kinesthetic
22,58,kinesthetic
61,45,auditory
95,26,visual
36,25,kinesthetic
11,24,kinesthetic
54,24,auditory
12,49,kinesthetic
22,26,kinesthetic
88,10,visual
98,22,visual
29,47,kinesthetic
16,19,kinesthetic
61,42,auditory
83,35,visual
88,21,visual
85,28,visual
12,24,kinesthetic
58,14,auditory
18,11,kinesthetic
48,23,auditory
99,38,visual
11,50,kinesthetic
60,10,auditory
18,22,kinesthetic
75,58,visual
8,41,kinesthetic
70,43,visual
27,23,kinesthetic
77,47,visual
94,47,visual
51,59,auditory
82,50,visual
15,24,kinesthetic
68,48,auditory
98,15,visual
11,38,kinesthetic
24,46,kinesthetic
51,28,auditory
84,10,visual
99,30,visual
52,48,auditory
22,27,kinesthetic
15,36,kinesthetic
56,37,auditory
38,17,kinesthetic
52,40,auditory
41,21,auditory
57,51,auditory
38,15,kinesthetic
13,35,kinesthetic
94,25,visual
4,39,kinesthetic
34,28,kinesthetic
86,27,visual
92,33,visual
74,54,visual
17,29,kinesthetic
75,16,visual
8,16,kinesthetic
73,25,visual
57,51,auditory
16,56,kinesthetic
6,23,kinesthetic
45,21,auditory
12,38,kinesthetic
39,24,kinesthetic
41,17,auditory
8,48,kinesthetic
49,18,auditory
26,55,kinesthetic
65,37,auditory
4,36,kinesthetic
28,16,kinesthetic
36,53,kinesthetic
37,23,kinesthetic
82,20,visual
7,41,kinesthetic
64,37,auditory
85,15,visual
16,44,kinesthetic
70,15,visual
88,33,visual
44,18,auditory
3,11,kinesthetic
35,47,kinesthetic
69,23,auditory
30,40,kinesthetic
18,39,kinesthetic
60,36,auditory
53,45,auditory
38,55,kinesthetic
90,40,visual
73,51,visual
89,15,visual
18,52,kinesthetic
38,54,kinesthetic
66,27,auditory
44,23,auditory
12,29,kinesthetic
91,20,visual
57,46,auditory
19,49,kinesthetic
91,13,visual
71,53,visual
60,15,auditory
38,32,kinesthetic
0,17,kinesthetic
2,39,kinesthetic
76,45,visual
91,51,visual
61,20,auditory
62,56,auditory
24,14,kinesthetic
55,12,auditory
32,24,kinesthetic
37,11,kinesthetic
5,11,kinesthetic
57,17,auditory
43,55,auditory
44,39,auditory
31,50,kinesthetic
44,14,auditory
60,39,auditory
46,53,auditory
20,19,kinesthetic
79,42,visual
84,33,visual
74,28,visual
35,39,kinesthetic
98,34,visual
18,20,kinesthetic
19,58,kinesthetic
56,44,auditory
17,10,kinesthetic
46,26,auditory
48,40,auditory
13,15,kinesthetic
14,22,kinesthetic
30,35,kinesthetic
0,45,kinesthetic
53,14,auditory
2,56,kinesthetic
15,23,kinesthetic
86,24,visual
56,21,auditory
74,59,visual
11,55,kinesthetic
73,51,visual
95,17,visual
15,40,kinesthetic
71,35,visual
75,38,visual
23,13,kinesthetic
27,59,kinesthetic
7,37,kinesthetic
91,34,visual
35,49,kinesthetic
89,41,visual
7,45,kinesthetic
57,20,auditory
59,46,auditory
49,19,auditory
27,47,kinesthetic
91,45,visual
40,59,auditory
99,36,visual
63,26,auditory
26,16,kinesthetic
62,18,auditory
16,44,kinesthetic
72,18,visual
32,45,kinesthetic
83,39,visual
76,40,visual
91,28,visual
28,50,kinesthetic
12,32,kinesthetic
45,29,auditory
34,15,kinesthetic
5,52,kinesthetic
81,33,visual
68,56,auditory
46,31,auditory
24,15,kinesthetic
65,33,auditory
9,51,kinesthetic
55,31,auditory
29,27,kinesthetic
4,25,kinesthetic
32,45,kinesthetic
64,22,auditory
17,46,kinesthetic
95,33,visual
48,28,auditory
10,59,kinesthetic
84,29,visual
25,36,kinesthetic
62,26,auditory
88,25,visual
85,10,visual
58,30,auditory
26,36,kinesthetic
48,10,auditory
76,39,visual
32,29,kinesthetic
97,33,visual
98,55,visual
0,11,kinesthetic
20,24,kinesthetic
54,38,auditory
5,44,kinesthetic
91,22,visual
80,28,visual
68,10,auditory
94,54,visual
4,56,kinesthetic
2,25,kinesthetic
52,52,auditory
22,12,kinesthetic
52,49,auditory
36,15,kinesthetic
73,40,visual
73,14,visual
82,35,visual
16,37,kinesthetic
84,24,visual
77,18,visual
72,31,visual
0,46,kinesthetic
50,30,auditory
44,51,auditory
76,38,visual
3,35,kinesthetic
61,15,auditory
64,20,auditory
31,45,kinesthetic
33,29,kinesthetic
91,53,visual
94,29,visual
71,36,visual
38,15,kinesthetic
25,42,kinesthetic
33,39,kinesthetic
53,59,auditory
2,43,kinesthetic
49,14,auditory
11,25,kinesthetic
64,21,auditory
53,21,auditory
4,20,kinesthetic
93,30,visual
93,16,visual
56,43,auditory
16,38,kinesthetic
46,15,auditory
22,45,kinesthetic
78,43,visual
84,58,visual
13,17,kinesthetic
65,46,auditory
74,19,visual
50,25,auditory
37,11,kinesthetic
63,28,auditory
97,16,visual
37,11,kinesthetic
49,54,auditory
97,32,visual
81,40,visual
29,13,kinesthetic
78,25,visual
90,19,visual
50,58,auditory
62,30,auditory
97,37,visual
51,55,auditory
37,21,kinesthetic
96,22,visual
87,49,visual
78,26,visual
29,27,kinesthetic
50,19,auditory
80,37,visual
4,22,kinesthetic
28,43,kinesthetic
3,58,kinesthetic
9,15,kinesthetic
55,21,auditory
16,38,kinesthetic
73,22,visual
16,35,kinesthetic
83,13,visual
87,24,visual
68,25,auditory
33,28,kinesthetic
5,56,kinesthetic
52,35,auditory
65,41,auditory
76,15,visual
42,15,auditory
74,14,visual
22,11,kinesthetic
54,11,auditory
79,46,visual
94,12,visual
74,15,visual
15,40,kinesthetic
7,52,kinesthetic
3,14,kinesthetic
3,59,kinesthetic
55,55,auditory
24,19,kinesthetic
66,36,auditory
95,33,visual
66,31,auditory
26,34,kinesthetic
92,12,visual
31,25,kinesthetic
49,39,auditory
60,57,auditory
50,52,auditory
18,13,kinesthetic
20,52,kinesthetic
4,49,kinesthetic
81,25,visual
91,49,visual
41,50,auditory
60,55,auditory
21,17,kinesthetic
20,33,kinesthetic
69,25,auditory
0,36,kinesthetic
4,11,kinesthetic
11,29,kinesthetic
89,29,visual
45,29,auditory
33,28,kinesthetic
48,27,auditory
77,22,visual
89,26,visual
44,42,auditory
26,37,kinesthetic
72,14,visual
25,37,kinesthetic
46,34,auditory
85,29,visual
55,30,auditory
93,22,visual
62,15,auditory
47,38,auditory
60,51,auditory
80,18,visual
25,38,kinesthetic
35,47,kinesthetic
0,10,kinesthetic
7,39,kinesthetic
98,59,visual
51,41,auditory
78,32,visual
46,48,auditory
55,19,auditory
85,53,visual
13,30,kinesthetic
89,35,visual
27,24,kinesthetic
86,26,visual
77,44,visual
87,34,visual
1,24,kinesthetic
25,42,kinesthetic
13,20,kinesthetic
58,33,auditory
55,15,auditory
6,37,kinesthetic
2,38,kinesthetic
22,57,kinesthetic
17,30,kinesthetic
37,21,kinesthetic
98,31,visual
14,36,kinesthetic
63,30,auditory
88,24,visual
27,27,kinesthetic
73,19,visual
38,31,kinesthetic
56,53,auditory
16,29,kinesthetic
85,28,visual
89,37,visual
43,46,auditory
24,59,kinesthetic
16,53,kinesthetic
12,10,kinesthetic
83,43,visual
24,44,kinesthetic
67,35,auditory
9,39,kinesthetic
66,21,auditory
17,23,kinesthetic
99,48,visual
85,13,visual
33,21,kinesthetic
7,33,kinesthetic
39,49,kinesthetic
82,40,visual
41,10,auditory
40,46,auditory
5,10,kinesthetic
51,24,auditory
25,22,kinesthetic
63,38,auditory
97,54,visual
58,13,auditory
55,24,auditory
58,53,auditory
69,49,auditory
32,57,kinesthetic
52,21,auditory
21,34,kinesthetic
20,36,kinesthetic
69,15,auditory
69,32,auditory
3,24,kinesthetic
93,48,visual
74,14,visual
61,32,auditory
61,24,auditory
93,34,visual
94,39,visual
23,53,kinesthetic
54,52,auditory
8,13,kinesthetic
2,22,kinesthetic
30,59,kinesthetic
39,49,kinesthetic
35,48,kinesthetic
23,32,kinesthetic
94,25,visual
5,44,kinesthetic
65,25,auditory
83,57,visual
91,16,visual
74,54,visual
3,22,kinesthetic
78,59,visual
5,38,kinesthetic
93,48,visual
50,29,auditory
61,59,auditory
56,38,auditory
65,27,auditory
78,31,visual
74,45,visual
7,50,kinesthetic
25,57,kinesthetic
50,45,auditory
44,17,auditory
43,12,auditory
4,38,kinesthetic
69,18,auditory
25,17,kinesthetic
67,39,auditory
18,21,kinesthetic
83,55,visual
96,37,visual
19,51,kinesthetic
11,58,kinesthetic
46,52,auditory
0,19,kinesthetic
89,22,visual
13,11,kinesthetic
63,10,auditory
37,31,kinesthetic
36,42,kinesthetic
10,25,kinesthetic
99,51,visual
76,38,visual
2,19,kinesthetic
32,48,kinesthetic
5,16,kinesthetic
49,10,auditory
9,35,kinesthetic
4,54,kinesthetic
22,14,kinesthetic
9,44,kinesthetic
43,22,auditory
1,36,kinesthetic
12,21,kinesthetic
39,39,kinesthetic
1,59,kinesthetic
83,41,visual
64,40,auditory
62,14,auditory
72,46,visual
16,11,kinesthetic
8,47,kinesthetic
74,16,visual
14,10,kinesthetic
23,12,kinesthetic
37,29,kinesthetic
34,11,kinesthetic
93,51,visual
94,52,visual
48,30,auditory
68,54,auditory
61,41,auditory
59,57,auditory
49,29,auditory
77,52,visual
74,59,visual
8,40,kinesthetic
33,52,kinesthetic
75,42,visual
98,33,visual
34,27,kinesthetic
0,29,kinesthetic
39,41,kinesthetic
63,14,auditory
21,11,kinesthetic
59,35,auditory
63,34,auditory
92,59,visual
71,31,visual
10,48,kinesthetic
13,31,kinesthetic
59,20,auditory
29,20,kinesthetic
34,54,kinesthetic
84,13,visual
36,42,kinesthetic
4,27,kinesthetic
82,40,visual
77,53,visual
25,37,kinesthetic
61,51,auditory
3,31,kinesthetic
88,49,visual
41,12,auditory
88,16,visual
17,29,kinesthetic
39,52,kinesthetic
71,16,visual
38,16,kinesthetic
13,38,kinesthetic
31,35,kinesthetic
50,50,auditory
37,12,kinesthetic
96,52,visual
22,26,kinesthetic
62,49,auditory
14,29,kinesthetic
96,43,visual
24,42,kinesthetic
16,25,kinesthetic
96,32,visual
65,13,auditory
77,50,visual
52,49,auditory
50,42,auditory
38,17,kinesthetic
50,14,auditory
69,42,auditory
5,34,kinesthetic
66,16,auditory
6,56,kinesthetic
50,16,auditory
71,42,visual
41,50,auditory
63,42,auditory
14,38,kinesthetic
28,53,kinesthetic
32,48,kinesthetic
93,50,visual
26,41,kinesthetic
35,46,kinesthetic
28,53,kinesthetic
37,38,kinesthetic
56,31,auditory
96,11,visual
26,59,kinesthetic
54,18,auditory
32,38,kinesthetic
67,42,auditory
85,19,visual
65,37,auditory
9,55,kinesthetic
4,55,kinesthetic
73,48,visual
96,21,visual
37,31,kinesthetic
12,15,kinesthetic
30,54,kinesthetic
46,49,auditory
99,32,visual
87,43,visual
51,51,auditory
55,47,auditory
14,25,kinesthetic
28,19,kinesthetic
7,56,kinesthetic
4,30,kinesthetic
28,19,kinesthetic
46,20,auditory
67,30,auditory
75,34,visual
44,43,auditory
1,40,kinesthetic
26,36,kinesthetic
94,34,visual
35,51,kinesthetic
35,41,kinesthetic
25,53,kinesthetic
42,20,auditory
26,56,kinesthetic
68,35,auditory
19,45,kinesthetic
10,46,kinesthetic
73,42,visual
37,42,kinesthetic
5,51,kinesthetic
71,45,visual
22,22,kinesthetic
46,23,auditory
89,46,visual
45,52,auditory
11,49,kinesthetic
89,10,visual
12,14,kinesthetic
61,39,auditory
81,27,visual
88,54,visual
96,46,visual
59,48,auditory
42,21,auditory
75,43,visual
99,54,visual
67,23,auditory
4,47,kinesthetic
36,25,kinesthetic
71,51,visual
91,20,visual
30,42,kinesthetic
8,24,kinesthetic
50,57,auditory
28,51,kinesthetic
77,19,visual
39,12,kinesthetic
40,20,auditory
85,20,visual
10,25,kinesthetic
22,47,kinesthetic
0,39,kinesthetic
45,50,auditory
20,10,kinesthetic
89,47,visual
35,59,kinesthetic
53,54,auditory
86,43,visual
56,28,auditory
0,43,kinesthetic
62,45,auditory
53,13,auditory
54,19,auditory
39,26,kinesthetic
14,25,kinesthetic
20,30,kinesthetic
46,37,auditory
72,17,visual
52,38,auditory
8,15,kinesthetic
73,39,visual
51,11,auditory
56,56,auditory
25,40,kinesthetic
40,34,auditory
34,32,kinesthetic
62,52,auditory
24,30,kinesthetic
89,25,visual
74,13,visual
37,52,kinesthetic
1,55,kinesthetic
6,17,kinesthetic
81,15,visual
90,36,visual
33,45,kinesthetic
90,45,visual
16,33,kinesthetic
42,15,auditory
58,52,auditory
50,42,auditory
53,11,auditory
23,50,kinesthetic
24,25,kinesthetic
70,47,visual
51,18,auditory
69,14,auditory
87,19,visual
32,39,kinesthetic
48,16,auditory
28,38,kinesthetic
62,11,auditory
21,29,kinesthetic
25,13,kinesthetic
27,37,kinesthetic
84,17,visual
48,44,auditory
70,11,visual
80,50,visual
83,37,visual
48,20,auditory
19,45,kinesthetic
85,18,visual
91,47,visual
62,10,auditory
60,36,auditory
48,12,auditory
70,48,visual
0,18,kinesthetic
95,49,visual
12,37,kinesthetic
93,30,visual
86,37,visual
50,54,auditory
55,33,auditory
82,27,visual
61,18,auditory
31,35,kinesthetic
29,33,kinesthetic
28,15,kinesthetic
48,21,auditory
44,45,auditory
92,18,visual
29,19,kinesthetic
15,12,kinesthetic
39,58,kinesthetic
18,38,kinesthetic
17,16,kinesthetic
0,35,kinesthetic
77,17,visual
46,52,auditory
65,22,auditory
91,44,visual
93,28,visual
37,55,kinesthetic
50,31,auditory
62,25,auditory
3,24,kinesthetic
0,11,kinesthetic
7,47,kinesthetic
28,30,kinesthetic
54,39,auditory
2,16,kinesthetic
31,40,kinesthetic
9,50,kinesthetic
73,50,visual
82,58,visual
33,44,kinesthetic
96,13,visual
86,43,visual
54,10,auditory
91,19,visual
31,39,kinesthetic
49,41,auditory
6,12,kinesthetic
92,19,visual
7,18,kinesthetic
64,26,auditory
56,56,auditory
66,12,auditory
87,36,visual
86,44,visual
58,13,auditory
71,13,visual
53,58,auditory
66,41,auditory
50,47,auditory
96,20,visual
91,53,visual
7,48,kinesthetic
33,54,kinesthetic
34,15,kinesthetic
95,44,visual
87,55,visual
77,41,visual
31,55,kinesthetic
45,32,auditory
15,51,kinesthetic
67,46,auditory
36,35,kinesthetic
53,43,auditory
84,47,visual
13,20,kinesthetic
94,59,visual
54,30,auditory
47,52,auditory
81,33,visual
6,24,kinesthetic
73,12,visual
6,11,kinesthetic
32,16,kinesthetic
22,14,kinesthetic
84,54,visual
18,49,kinesthetic
18,38,kinesthetic
35,50,kinesthetic
28,41,kinesthetic
59,39,auditory
81,17,visual
1,41,kinesthetic
0,51,kinesthetic
46,11,auditory
68,19,auditory
19,52,kinesthetic
10,52,kinesthetic
1,46,kinesthetic
66,55,auditory
86,12,visual
11,32,kinesthetic
19,43,kinesthetic
4,27,kinesthetic
36,42,kinesthetic
37,42,kinesthetic
93,26,visual
8,15,kinesthetic
97,22,visual
52,30,auditory
43,40,auditory
98,30,visual
85,42,visual
23,37,kinesthetic
80,15,visual
73,17,visual
29,22,kinesthetic
58,43,auditory
86,49,visual
95,31,visual
80,10,visual
80,22,visual
13,10,kinesthetic
8,19,kinesthetic
39,14,kinesthetic
65,29,auditory
24,22,kinesthetic
72,46,visual
21,19,kinesthetic
3,12,kinesthetic
25,43,kinesthetic
57,43,auditory
28,39,kinesthetic
97,46,visual
86,13,visual
36,43,kinesthetic
74,41,visual
69,30,auditory
17,50,kinesthetic
84,33,visual
41,18,auditory
99,50,visual
40,33,auditory
37,34,kinesthetic
33,45,kinesthetic
16,17,kinesthetic
36,59,kinesthetic
24,50,kinesthetic
75,38,visual
86,34,visual
85,44,visual
84,47,visual
26,37,kinesthetic
56,28,auditory
30,41,kinesthetic
5,46,kinesthetic
90,58,visual
39,37,kinesthetic
97,44,visual
11,17,kinesthetic
52,50,auditory
70,32,visual
9,49,kinesthetic
44,55,auditory
16,32,kinesthetic
25,41,kinesthetic
84,19,visual
91,26,visual
61,44,auditory
45,44,auditory
63,12,auditory
1,45,kinesthetic
53,38,auditory
64,58,auditory
50,55,auditory
52,36,auditory
35,40,kinesthetic
25,43,kinesthetic
28,21,kinesthetic
20,46,kinesthetic
10,34,kinesthetic
39,11,kinesthetic
10,39,kinesthetic
35,53,kinesthetic
58,18,auditory
38,32,kinesthetic
98,18,visual
53,29,auditory
97,10,visual
54,48,auditory
23,32,kinesthetic
21,27,kinesthetic
68,51,auditory
55,41,auditory
32,56,kinesthetic
35,18,kinesthetic
19,20,kinesthetic
82,10,visual
98,20,visual
80,42,visual
61,39,auditory
97,14,visual
72,59,visual
25,10,kinesthetic
65,19,auditory
72,22,visual
72,36,visual
39,17,kinesthetic
16,37,kinesthetic
0,54,kinesthetic
88,11,visual
60,21,auditory
42,36,auditory
41,22,auditory
24,31,kinesthetic
38,49,kinesthetic
34,24,kinesthetic
2,40,kinesthetic
43,16,auditory
50,48,auditory
93,58,visual
97,44,visual
11,16,kinesthetic
18,21,kinesthetic
43,23,auditory
58,43,auditory
48,48,auditory
60,57,auditory
16,18,kinesthetic
73,42,visual
56,21,auditory
54,43,auditory
46,36,auditory
11,31,kinesthetic
61,27,auditory
79,55,visual
87,53,visual
82,27,visual
7,46,kinesthetic
94,16,visual
